,Country Name,Country Code,2010,2011,2012,2013,2014,2015,2016,2017
0,China,CHN,115.711781066339,137.967304294479,157.39037724580302,179.880451357744,200.772203839984,214.09306994625,216.031280078816,227.829417915783
1,Germany,DEU,46.255521194101,48.1403479505946,46.4708709048252,45.930540563148,46.1026730104001,39.8125762448708,41.579494873820494,45.38172204222501
2,France,FRA,61.781748107728696,64.6009272195231,60.0351538107707,62.4170991782612,63.61356914346201,55.34213152933349,57.3584144191346,60.4174988218926
3,United Kingdom,GBR,58.0828487945375,60.270435686808,58.495656720591,56.8617595882819,59.1828585542566,53.862185493291804,48.1189435181008,46.433303401228095
4,Iran,IRN,13.5612724542139,14.2776673605682,16.4939632869287,11.9971869840994,9.901105170439871,10.5887696708684,12.263957414621599,13.931196489797498
5,Israel,ISR,14.605298603686501,16.3432104619046,15.567095862409001,17.319707976383498,18.485829607270702,16.9694320858565,14.783814747801701,15.581608421504798
6,Italy,ITA,32.0208199511287,33.82880497112,29.781008205125598,29.9574459045168,27.7010343349422,22.1808450704225,25.0330278946754,26.447892915427403
7,South Korea,KOR,28.1751812189679,30.9917079464761,31.951760810319,34.3112207151665,37.5523286734539,36.5707693225744,36.8852834300234,39.170682135621604
8,Russia,RUS,58.7202276087579,70.2375239514946,81.46939993125771,88.3528964635598,84.6965046534978,66.41870818397689,69.24530946098241,66.5273039924799
9,Saudi Arabia,SAU,45.2445333333333,48.530933333333294,56.497866666666695,67.02,80.7624,87.1858666666667,63.6728,70.4
